@relation features

@attribute meanXAcc real
@attribute meanYAcc real
@attribute meanZAcc real
@attribute stdX real
@attribute stdY real
@attribute stdZ real
@attribute avgAcc real
@attribute binX1 real
@attribute binX2 real
@attribute binX3 real
@attribute binX4 real
@attribute binX5 real
@attribute binX6 real
@attribute binX7 real
@attribute binX8 real
@attribute binX9 real
@attribute binX10 real
@attribute binY1 real
@attribute binY2 real
@attribute binY3 real
@attribute binY4 real
@attribute binY5 real
@attribute binY6 real
@attribute binY7 real
@attribute binY8 real
@attribute binY9 real
@attribute binY10 real
@attribute binZ1 real
@attribute binZ2 real
@attribute binZ3 real
@attribute binZ4 real
@attribute binZ5 real
@attribute binZ6 real
@attribute binZ7 real
@attribute binZ8 real
@attribute binZ9 real
@attribute binZ10 real
@attribute peakDistX real
@attribute peakDistY real
@attribute peakDistZ real
@attribute activity {1,2,3,4}


@data
3.7633,5.542,3.8396,2.9016,3.0571,3.5328,8.617,0.006,0.006,0.018,0.073,0.213,0.259,0.231,0.127,0.053,0.014,0.028,0.087,0.116,0.14,0.092,0.104,0.194,0.176,0.048,0.015,0.015,0.042,0.093,0.212,0.364,0.152,0.08,0.027,0.007,0.008,301.87,394.83,269.74,2
3.9534,5.6953,3.7426,3.2312,3.0363,3.5699,8.8135,0.011,0.007,0.023,0.084,0.167,0.227,0.252,0.14,0.071,0.018,0.032,0.1,0.128,0.141,0.073,0.137,0.236,0.114,0.034,0.005,0.007,0.029,0.064,0.181,0.393,0.199,0.081,0.025,0.014,0.007,363.22,418,336.77,2
5.0063,7.1059,4.5572,3.6263,3.7978,4.5453,11.106,0.014,0.03,0.065,0.092,0.168,0.208,0.168,0.166,0.08,0.009,0.032,0.1,0.142,0.123,0.115,0.087,0.097,0.2,0.091,0.013,0.039,0.024,0.02,0.03,0.116,0.27,0.353,0.092,0.039,0.017,390.5,427.77,433.55,2
5.7393,7.2656,4.9285,4.2283,3.8243,4.7104,11.888,0.027,0.034,0.057,0.08,0.146,0.215,0.146,0.142,0.108,0.045,0.025,0.111,0.141,0.117,0.114,0.087,0.104,0.203,0.081,0.017,0.02,0.04,0.017,0.028,0.077,0.259,0.295,0.18,0.054,0.03,387.31,483.8,425.55,2
6.0744,7.4187,5.2471,4.5602,3.7847,4.7854,12.357,0.015,0.045,0.066,0.097,0.146,0.237,0.122,0.109,0.111,0.052,0.047,0.109,0.14,0.106,0.092,0.08,0.083,0.194,0.108,0.041,0.029,0.031,0.028,0.042,0.148,0.277,0.257,0.121,0.042,0.025,457.11,442.95,437.43,2
5.8926,7.6712,5.6262,4.3842,3.7906,5.2454,12.681,0.026,0.045,0.081,0.109,0.198,0.201,0.108,0.114,0.094,0.024,0.018,0.084,0.137,0.124,0.095,0.068,0.088,0.161,0.145,0.08,0.011,0.051,0.03,0.027,0.052,0.241,0.279,0.214,0.059,0.036,554.71,470,476.48,2
5.7945,7.5603,6.0973,4.3921,3.9887,5.4926,12.916,0.031,0.032,0.041,0.082,0.165,0.215,0.133,0.124,0.115,0.062,0.02,0.116,0.144,0.143,0.084,0.097,0.111,0.168,0.089,0.028,0.039,0.042,0.021,0.024,0.057,0.19,0.236,0.263,0.084,0.044,473.4,489.6,392.79,2
5.9423,7.4716,5.9241,4.5579,3.8301,5.3924,12.818,0.04,0.039,0.072,0.119,0.233,0.173,0.13,0.113,0.072,0.009,0.013,0.099,0.142,0.14,0.094,0.083,0.099,0.177,0.102,0.051,0.017,0.05,0.025,0.024,0.04,0.193,0.234,0.287,0.087,0.043,526.5,555.65,377.44,2
5.8191,7.4873,6.0219,4.4126,3.8612,5.386,12.821,0.037,0.039,0.068,0.114,0.249,0.168,0.129,0.139,0.05,0.007,0.024,0.098,0.131,0.144,0.097,0.083,0.088,0.17,0.113,0.052,0.032,0.052,0.022,0.017,0.088,0.201,0.254,0.235,0.058,0.041,436.91,368.92,420.67,2
5.2854,7.1673,5.6686,4.0782,3.6819,5.2452,12.106,0.025,0.041,0.064,0.069,0.215,0.221,0.117,0.135,0.101,0.012,0.04,0.093,0.134,0.15,0.087,0.079,0.08,0.208,0.098,0.031,0.03,0.043,0.026,0.03,0.104,0.205,0.317,0.171,0.042,0.032,525.41,483.55,483.55,2
